iShares Russell 2000 ETF
Fund Holdings as of,"Jan 21, 2026"
Inception Date,"May 22, 2000"
Shares Outstanding,"291,350,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"APLD","APPLIED DIGITAL CORP","Information Technology","Equity","206,623,375.32","0.26","206,623,375.32","5,893,422.00","35.06","United States","NASDAQ","USD","1.00","USD","-"
"AHR","AMERICAN HEALTHCARE REIT INC","Real Estate","Equity","205,080,199.68","0.26","205,080,199.68","4,216,287.00","48.64","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"JBTM","JBT MAREL CORP","Industrials","Equity","204,854,410.53","0.26","204,854,410.53","1,295,481.00","158.13","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WTS","WATTS WATER TECHNOLOGIES INC CLASS","Industrials","Equity","204,597,148.90","0.26","204,597,148.90","679,499.00","301.10","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PRIM","PRIMORIS SERVICES CORP","Industrials","Equity","203,914,439.96","0.26","203,914,439.96","1,344,284.00","151.69","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SITM","SITIME CORP","Information Technology","Equity","201,961,159.29","0.26","201,961,159.29","534,699.00","377.71","United States","NASDAQ","USD","1.00","USD","-"
"LUMN","LUMEN TECHNOLOGIES INC","Communication","Equity","198,472,690.57","0.25","198,472,690.57","23,655,863.00","8.39","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AXSM","AXSOME THERAPEUTICS INC","Health Care","Equity","191,742,483.40","0.24","191,742,483.40","1,013,974.00","189.10","United States","NASDAQ","USD","1.00","USD","-"
"PRAX","PRAXIS PRECISION MEDICINES INC","Health Care","Equity","190,258,988.40","0.24","190,258,988.40","608,634.00","312.60","United States","NASDAQ","USD","1.00","USD","-"
"RGTI","RIGETTI COMPUTING INC","Information Technology","Equity","187,376,927.40","0.24","187,376,927.40","7,916,220.00","23.67","United States","NASDAQ","USD","1.00","USD","-"
"MOD","MODINE MANUFACTURING","Industrials","Equity","186,851,673.28","0.24","186,851,673.28","1,300,471.00","143.68","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ORA","ORMAT TECH INC","Utilities","Equity","186,175,782.00","0.24","186,175,782.00","1,526,031.00","122.00","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"JXN","JACKSON FINANCIAL INC CLASS A","Financials","Equity","184,920,251.50","0.24","184,920,251.50","1,618,558.00","114.25","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CADE","CADENCE BANK","Financials","Equity","182,655,538.68","0.23","182,655,538.68","3,931,458.00","46.46","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CYTK","CYTOKINETICS INC","Health Care","Equity","182,398,423.04","0.23","182,398,423.04","2,893,376.00","63.04","United States","NASDAQ","USD","1.00","USD","-"
"HQY","HEALTHEQUITY INC","Health Care","Equity","179,165,680.32","0.23","179,165,680.32","2,118,048.00","84.59","United States","NASDAQ","USD","1.00","USD","-"
"FLR","FLUOR CORP","Industrials","Equity","179,158,022.40","0.23","179,158,022.40","3,999,063.00","44.80","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"EAT","BRINKER INTERNATIONAL INC","Consumer Discretionary","Equity","176,676,084.10","0.23","176,676,084.10","1,098,049.00","160.90","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
